,0,1,2
0,0,<,13595
1,1,r,1256067
2,2,e,2220740
3,3,p,611384
4,4,o,1132523
5,5,n,1108123
6,6,a,1270170
7,7,m,537563
8,8,>,26345
9,9,M,45913
10,10,T,108595
11,11,E,91925
12,12,S,87983
13,13,-,143324
14,14,C,69960
15,15,/,57363
16,16,s,1326739
17,17,t,1570580
18,18,"
",886900
19,19,f,529381
20,20, ,8031474
21,21,_,718450
22,22,w,137808
23,23,k,128035
24,24,g,343833
25,25,i,1175976
26,26,l,860496
27,27,z,39409
28,28,.,509218
29,29,d,684426
30,30,(,375415
31,31,A,77755
32,32,c,628166
33,33,2,84009
34,34,0,133160
35,35,1,123500
36,36,5,37874
37,37,8,28533
38,38,",",438961
39,39,u,524973
40,40,y,225761
41,41,b,224088
42,42,v,165676
43,43,U,27730
44,44,O,52665
45,45,R,65560
46,46,V,20569
47,47,Z,3941
48,48,B,30330
49,49,),375549
50,50,=,326877
51,51,"""",334256
52,52,:,253014
53,53,N,79164
54,54,{,36385
55,55,},36371
56,56,[,110257
57,57,3,49749
58,58,],110065
59,59,G,28474
60,60,F,48913
61,61,h,339900
62,62,j,42049
63,63,J,3778
64,64,#,125193
65,65,q,51077
66,66,x,146317
67,67,L,51693
68,68,D,57074
69,69,I,71951
70,70,P,55903
71,71,H,20814
72,72,Y,11394
73,73,K,10014
74,74,`,18837
75,75,',327407
76,76,+,26504
77,77,@,9425
78,78,!,5675
79,79,\,16752
80,80,$,1996
81,81,W,15725
82,82,*,40551
83,83,%,18751
84,84,^,1188
85,85,&,2028
86,86,Q,9166
87,87,7,23914
88,88,9,24449
89,89,	,45075
90,90,4,38458
91,91,6,31813
92,92,?,2877
93,93,©,15
94,94,X,9883
95,95,|,3120
96,96,数,485
97,97,据,240
98,98,预,12
99,99,处,15
100,100,理,69
101,101,输,55
102,102,入,110
103,103,为,164
104,104,格,49
105,105,式,54
106,106,首,4
107,107,先,12
108,108,获,92
109,109,取,186
110,110,即,3
111,111,存,110
112,112,在,91
113,113,的,606
114,114,具,4
115,115,体,69
116,116,类,89
117,117,第,33
118,118,一,162
119,119,条,19
120,120,是,161
121,121,标,63
122,122,签,46
123,123,，,586
124,124,不,108
125,125,选,35
126,126,择,10
127,127,转,20
128,128,字,116
129,129,典,13
130,130,等,36
131,131,如,61
132,132,果,46
133,133,则,42
134,134,换,21
135,135,了,35
136,136,验,16
137,137,证,15
138,138,集,30
139,139,合,45
140,140,时,200
141,141,候,7
142,142,用,229
143,143,读,30
144,144,比,27
145,145,例,101
146,146,生,59
147,147,效,46
148,148,使,47
149,149,得,42
150,150,语,23
151,151,料,26
152,152,足,3
153,153,够,1
154,154,训,17
155,155,练,17
156,156,对,88
157,157,每,46
158,158,操,32
159,159,作,48
160,160,和,50
161,161,问,48
162,162,句,14
163,163,跳,6
164,164,出,106
165,165,循,6
166,166,环,13
167,167,;,4239
168,168,自,35
169,169,动,50
170,170,安,14
171,171,装,7
172,172,依,3
173,173,赖,3
174,174,~,2659
175,175,道,9
176,176,题,45
177,177,请,149
178,178,次,87
179,179,二,22
180,180,返,152
181,181,回,152
182,182,去,18
183,183,列,89
184,184,表,135
185,185,值,141
186,186,’,70
187,187,—,4
188,188,任,62
189,189,务,94
190,190,待,22
191,191,执,42
192,192,行,128
193,193,开,76
194,194,始,81
195,195,成,153
196,196,功,60
197,197,重,45
198,198,试,28
199,199,失,40
200,200,败,17
201,201,撤,1
202,202,销,3
203,203,á,812
204,204,ç,1141
205,205,ã,1150
206,206,é,370
207,207,ê,267
208,208,õ,308
209,209,ó,358
210,210,í,642
211,211,,41227
212,212,百,4
213,213,度,62
214,214,通,40
215,215,翻,10
216,216,译,6
217,217,包,67
218,218,含,29
219,219,词,9
220,220,、,135
221,221,音,12
222,222,资,6
223,223,源,15
224,224,有,143
225,225,相,36
226,226,关,37
227,227,需,66
228,228,求,135
229,229,联,22
230,230,系,42
231,231,你,22
232,232,想,7
233,233,子,17
234,234,！,31
235,235,原,15
236,236,文,81
237,237,种,11
238,238,错,21
239,239,误,16
240,240,因,14
241,241,：,200
242,242,结,93
243,243,能,72
244,244,空,69
245,245,哦,1
246,246,ė,15
247,247,š,9
248,248,č,3
249,249,ž,3
250,250,ų,1
251,251,ū,1
252,252,Š,7
253,253,ش,10
254,254,ا,103
255,255,خ,6
256,256,ص,9
257,257,ك,24
258,258,ل,73
259,259,位,88
260,260,置,91
261,261,情,22
262,262,報,3
263,263,関,3
264,264,正,41
265,265,規,1
266,266,化,57
267,267,前,62
268,268,‘,35
269,269,ä,89
270,270,ö,49
271,271,투,2
272,272,수,17
273,273,팀,2
274,274,연,12
275,275,도,12
276,276,改,15
277,277,添,28
278,278,加,82
279,279,嘉,1
280,280,宾,1
281,281,下,58
282,282,午,7
283,283,⚙,3
284,284,率,30
285,285,默,56
286,286,认,59
287,287,倒,4
288,288,层,11
289,289,向,48
290,290,量,82
291,291,序,52
292,292,最,69
293,293,大,79
294,294,程,66
295,295,蓝,6
296,296,鲸,5
297,297,基,24
298,298,础,9
299,299,平,21
300,300,台,9
301,301,迹,1
302,302,中,109
303,303,创,32
304,304,建,54
305,305,信,89
306,306,息,76
307,307,型,91
308,308,从,24
309,309,到,132
310,310,机,41
311,311,器,22
312,312,人,66
313,313,象,53
314,314,于,90
315,315,登,26
316,316,陆,11
317,317,微,7
318,318,账,10
319,319,号,58
320,320,涵,1
321,321,盖,2
322,322,部,25
323,323,分,137
324,324,保,41
325,325,或,32
326,326,载,16
327,327,状,38
328,328,态,36
329,329,件,171
330,330,路,20
331,331,径,19
332,332,尝,4
333,333,。,538
334,334,填,3
335,335,写,31
336,336,本,65
337,337,参,108
338,338,后,46
339,339,可,91
340,340,短,3
341,341,间,157
342,342,内,74
343,343,新,91
344,344,避,2
345,345,免,2
346,346,复,10
347,347,扫,7
348,348,码,33
349,349,会,45
350,350,要,95
351,351,终,6
352,352,端,6
353,353,显,5
354,354,示,68
355,355,维,27
356,356,模,49
357,357,块,5
358,358,调,27
359,359,接,71
360,360,收,25
361,361,同,17
362,362,上,69
363,363,传,27
364,364,助,10
365,365,手,17
366,366,当,39
367,367,若,6
368,368,否,46
369,369,聊,18
370,370,天,40
371,371,户,70
372,372,排,27
373,373,除,39
374,374,身,5
375,375,所,60
376,376,更,34
377,377,好,18
378,378,友,10
379,379,群,26
380,380,限,29
381,381,公,3
382,382,众,1
383,383,单,84
384,384,个,122
385,385,批,5
386,386,多,33
387,387,详,18
388,388,细,6
389,389,地,37
390,390,区,4
391,391,性,38
392,392,别,35
393,393,名,94
394,394,但,10
395,395,员,14
396,396,配,59
397,397,目,51
398,398,进,38
399,399,搜,5
400,400,索,17
401,401,称,30
402,402,以,48
403,403,昵,1
404,404,备,18
405,405,注,48
406,406,属,12
407,407,键,9
408,408,省,1
409,409,份,3
410,410,城,2
411,411,市,1
412,412,指,55
413,413,定,118
414,414,广,3
415,415,东,2
416,416,匹,6
417,417,说,5
418,418,明,16
419,419,受,3
420,420,口,20
421,421,并,22
422,422,直,14
423,423,消,21
424,424,饰,3
425,425,册,7
426,426,形,12
427,427,外,17
428,428,己,15
429,429,发,42
430,430,送,44
431,431,异,21
432,432,步,10
433,433,函,27
434,434,提,54
435,435,高,23
436,436,响,6
437,437,应,24
438,438,速,4
439,439,启,35
440,440,事,22
441,441,闭,6
442,442,监,12
443,443,听,1
444,444,堵,1
445,445,塞,1
446,446,线,82
447,447,将,44
448,448,运,6
449,449,之,22
450,450,意,40
451,451,（,56
452,452,）,57
453,453,反,16
454,454,˜,1
455,455,ü,62
456,456,Ü,8
457,457,を,90
458,458,イ,27
459,459,ン,75
460,460,ポ,10
461,461,ー,89
462,462,ト,30
463,463,エ,9
464,464,ラ,28
465,465,の,153
466,466,た,50
467,467,め,20
468,468,に,97
469,469,プ,13
470,470,レ,17
471,471,フ,15
472,472,ィ,5
473,473,ッ,30
474,474,ク,34
475,475,ス,40
476,476,読,8
477,477,み,30
478,478,込,13
479,479,む,2
480,480,コ,12
481,481,グ,13
482,482,納,3
483,483,し,58
484,484,て,50
485,485,お,6
486,486,く,18
487,487,義,1
488,488,サ,10
489,489,ブ,3
490,490,で,42
491,491,あ,21
492,492,る,103
